question,sql
Count all rows in students,SELECT COUNT(*) FROM students;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Show all products,SELECT * FROM products;
Show all employees,SELECT * FROM employees;
Show all customers,SELECT * FROM customers;
Find all records in customers where age < 50,SELECT * FROM customers WHERE age < 50;
Find minimum id in employees,SELECT MIN(id) FROM employees;
Show age from students where id <= 20,SELECT age FROM students WHERE id <= 20;
Show name from students where marks < 100,SELECT name FROM students WHERE marks < 100;
Count all rows in employees,SELECT COUNT(*) FROM employees;
List all customer_id from customers,SELECT customer_id FROM customers;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find all records in products where price >= 30,SELECT * FROM products WHERE price >= 30;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show name from customers where membership > 60,SELECT name FROM customers WHERE membership > 60;
Find all records in customers where membership > 60,SELECT * FROM customers WHERE membership > 60;
Show salary from employees where salary > 50,SELECT salary FROM employees WHERE salary > 50;
Find maximum price in products,SELECT MAX(price) FROM products;
Show all employees,SELECT * FROM employees;
Show department from employees where department < 100,SELECT department FROM employees WHERE department < 100;
Show all orders,SELECT * FROM orders;
Find average city in customers,SELECT AVG(city) FROM customers;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all customer_id from customers,SELECT customer_id FROM customers;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Show all customers,SELECT * FROM customers;
Show all customers ordered by city,SELECT * FROM customers ORDER BY city;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find maximum category in products,SELECT MAX(category) FROM products;
Find average age in customers,SELECT AVG(age) FROM customers;
Show department from employees where age = 10,SELECT department FROM employees WHERE age = 10;
Show all employees,SELECT * FROM employees;
List all id from students,SELECT id FROM students;
List all age from students,SELECT age FROM students;
Count all rows in students,SELECT COUNT(*) FROM students;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Find all records in students where name >= 90,SELECT * FROM students WHERE name >= 90;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
List all customer_id from customers,SELECT customer_id FROM customers;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show marks from students where id > 100,SELECT marks FROM students WHERE id > 100;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Show all products,SELECT * FROM products;
List all membership from customers,SELECT membership FROM customers;
Show all students,SELECT * FROM students;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Show name from employees where name = 50,SELECT name FROM employees WHERE name = 50;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all stock from products,SELECT stock FROM products;
List all category from products,SELECT category FROM products;
Find average name in customers,SELECT AVG(name) FROM customers;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Find all records in orders where status <= 100,SELECT * FROM orders WHERE status <= 100;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum city in customers,SELECT MAX(city) FROM customers;
List all name from customers,SELECT name FROM customers;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Show all products,SELECT * FROM products;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find all records in employees where age > 10,SELECT * FROM employees WHERE age > 10;
List all amount from orders,SELECT amount FROM orders;
Find all records in students where id > 10,SELECT * FROM students WHERE id > 10;
Find average department in employees,SELECT AVG(department) FROM employees;
Find all records in customers where membership >= 100,SELECT * FROM customers WHERE membership >= 100;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Show all orders,SELECT * FROM orders;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in products where price >= 80,SELECT * FROM products WHERE price >= 80;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Show all customers,SELECT * FROM customers;
Find average name in customers,SELECT AVG(name) FROM customers;
Find average name in employees,SELECT AVG(name) FROM employees;
Show all employees,SELECT * FROM employees;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Find all records in orders where status > 50,SELECT * FROM orders WHERE status > 50;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Show salary from employees where department >= 90,SELECT salary FROM employees WHERE department >= 90;
List all salary from employees,SELECT salary FROM employees;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Find all records in students where department = 30,SELECT * FROM students WHERE department = 30;
Show id from students where department <= 70,SELECT id FROM students WHERE department <= 70;
Show all products,SELECT * FROM products;
Find average date in orders,SELECT AVG(date) FROM orders;
Show order_id from orders where order_id <= 40,SELECT order_id FROM orders WHERE order_id <= 40;
Show all students,SELECT * FROM students;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Show all students,SELECT * FROM students;
Show date from orders where customer_id = 40,SELECT date FROM orders WHERE customer_id = 40;
Count all rows in orders,SELECT COUNT(*) FROM orders;
List all date from orders,SELECT date FROM orders;
Find minimum id in employees,SELECT MIN(id) FROM employees;
Show age from students where name < 80,SELECT age FROM students WHERE name < 80;
Find maximum department in students,SELECT MAX(department) FROM students;
Show all customers,SELECT * FROM customers;
Find maximum age in students,SELECT MAX(age) FROM students;
Find all records in employees where department >= 60,SELECT * FROM employees WHERE department >= 60;
Find all records in students where marks < 100,SELECT * FROM students WHERE marks < 100;
Show all students,SELECT * FROM students;
Find all records in students where age < 70,SELECT * FROM students WHERE age < 70;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Show marks from students where id <= 80,SELECT marks FROM students WHERE id <= 80;
List all name from products,SELECT name FROM products;
Find all records in orders where date <= 30,SELECT * FROM orders WHERE date <= 30;
Find maximum age in students,SELECT MAX(age) FROM students;
Show all orders,SELECT * FROM orders;
List all product_id from products,SELECT product_id FROM products;
Show age from students where department < 80,SELECT age FROM students WHERE department < 80;
Show all students,SELECT * FROM students;
Show product_id from products where product_id >= 40,SELECT product_id FROM products WHERE product_id >= 40;
Find all records in orders where order_id <= 90,SELECT * FROM orders WHERE order_id <= 90;
List all marks from students,SELECT marks FROM students;
Show salary from employees where age <= 60,SELECT salary FROM employees WHERE age <= 60;
List all id from employees,SELECT id FROM employees;
Find maximum id in students,SELECT MAX(id) FROM students;
Show all employees,SELECT * FROM employees;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Show all orders,SELECT * FROM orders;
Show department from employees where salary <= 100,SELECT department FROM employees WHERE salary <= 100;
Find all records in products where name = 20,SELECT * FROM products WHERE name = 20;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in products where category > 70,SELECT * FROM products WHERE category > 70;
List all customer_id from orders,SELECT customer_id FROM orders;
List all category from products,SELECT category FROM products;
Show all products,SELECT * FROM products;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find all records in products where name > 60,SELECT * FROM products WHERE name > 60;
Find maximum name in customers,SELECT MAX(name) FROM customers;
List all id from employees,SELECT id FROM employees;
List all membership from customers,SELECT membership FROM customers;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in students where name <= 100,SELECT * FROM students WHERE name <= 100;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Show category from products where name >= 20,SELECT category FROM products WHERE name >= 20;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
Show id from students where marks >= 100,SELECT id FROM students WHERE marks >= 100;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Find minimum city in customers,SELECT MIN(city) FROM customers;
List all age from employees,SELECT age FROM employees;
Show department from employees where name < 50,SELECT department FROM employees WHERE name < 50;
Find average price in products,SELECT AVG(price) FROM products;
Find average age in students,SELECT AVG(age) FROM students;
List all name from students,SELECT name FROM students;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Show name from employees where id <= 90,SELECT name FROM employees WHERE id <= 90;
Find maximum marks in students,SELECT MAX(marks) FROM students;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find minimum category in products,SELECT MIN(category) FROM products;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find average department in students,SELECT AVG(department) FROM students;
List all department from students,SELECT department FROM students;
Show name from employees where salary = 60,SELECT name FROM employees WHERE salary = 60;
Find average id in students,SELECT AVG(id) FROM students;
List all name from products,SELECT name FROM products;
Find all records in students where id <= 50,SELECT * FROM students WHERE id <= 50;
Count all rows in students,SELECT COUNT(*) FROM students;
Show status from orders where status >= 70,SELECT status FROM orders WHERE status >= 70;
List all age from customers,SELECT age FROM customers;
Show name from customers where name > 90,SELECT name FROM customers WHERE name > 90;
Find average stock in products,SELECT AVG(stock) FROM products;
Show id from students where age <= 20,SELECT id FROM students WHERE age <= 20;
Find minimum department in students,SELECT MIN(department) FROM students;
Find minimum age in employees,SELECT MIN(age) FROM employees;
List all id from employees,SELECT id FROM employees;
Show all customers,SELECT * FROM customers;
List all marks from students,SELECT marks FROM students;
Find minimum department in students,SELECT MIN(department) FROM students;
Find all records in customers where customer_id < 70,SELECT * FROM customers WHERE customer_id < 70;
Find average name in customers,SELECT AVG(name) FROM customers;
Find all records in employees where id > 40,SELECT * FROM employees WHERE id > 40;
Show all employees,SELECT * FROM employees;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Show marks from students where marks <= 60,SELECT marks FROM students WHERE marks <= 60;
Find all records in products where stock <= 40,SELECT * FROM products WHERE stock <= 40;
Find all records in orders where date > 10,SELECT * FROM orders WHERE date > 10;
List all age from employees,SELECT age FROM employees;
Find minimum department in students,SELECT MIN(department) FROM students;
Find all records in customers where city <= 80,SELECT * FROM customers WHERE city <= 80;
Find all records in orders where amount <= 40,SELECT * FROM orders WHERE amount <= 40;
Show status from orders where amount = 40,SELECT status FROM orders WHERE amount = 40;
List all price from products,SELECT price FROM products;
Show all employees,SELECT * FROM employees;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Find average stock in products,SELECT AVG(stock) FROM products;
Find minimum marks in students,SELECT MIN(marks) FROM students;
Show price from products where category > 50,SELECT price FROM products WHERE category > 50;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Find all records in students where name >= 70,SELECT * FROM students WHERE name >= 70;
Count all rows in products,SELECT COUNT(*) FROM products;
Find all records in customers where name < 80,SELECT * FROM customers WHERE name < 80;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Count all rows in products,SELECT COUNT(*) FROM products;
Find average age in customers,SELECT AVG(age) FROM customers;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find minimum marks in students,SELECT MIN(marks) FROM students;
Show all orders,SELECT * FROM orders;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Find minimum department in students,SELECT MIN(department) FROM students;
Find all records in products where price <= 10,SELECT * FROM products WHERE price <= 10;
Show all products,SELECT * FROM products;
Find average date in orders,SELECT AVG(date) FROM orders;
Show all customers,SELECT * FROM customers;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
List all department from students,SELECT department FROM students;
Show all customers,SELECT * FROM customers;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Show salary from employees where name >= 60,SELECT salary FROM employees WHERE name >= 60;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Find minimum customer_id in customers,SELECT MIN(customer_id) FROM customers;
Find minimum category in products,SELECT MIN(category) FROM products;
List all customer_id from orders,SELECT customer_id FROM orders;
Find minimum department in employees,SELECT MIN(department) FROM employees;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
Find minimum age in students,SELECT MIN(age) FROM students;
Show membership from customers where membership = 90,SELECT membership FROM customers WHERE membership = 90;
Find average date in orders,SELECT AVG(date) FROM orders;
Find all records in products where stock <= 60,SELECT * FROM products WHERE stock <= 60;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
List all salary from employees,SELECT salary FROM employees;
Show all customers,SELECT * FROM customers;
Find average id in employees,SELECT AVG(id) FROM employees;
Find all records in employees where salary < 80,SELECT * FROM employees WHERE salary < 80;
Find average stock in products,SELECT AVG(stock) FROM products;
Show stock from products where stock <= 50,SELECT stock FROM products WHERE stock <= 50;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Find maximum age in students,SELECT MAX(age) FROM students;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Find average marks in students,SELECT AVG(marks) FROM students;
List all name from products,SELECT name FROM products;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Show department from employees where department > 30,SELECT department FROM employees WHERE department > 30;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
List all city from customers,SELECT city FROM customers;
List all stock from products,SELECT stock FROM products;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Find maximum name in products,SELECT MAX(name) FROM products;
Find all records in products where price < 60,SELECT * FROM products WHERE price < 60;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Find average price in products,SELECT AVG(price) FROM products;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
List all name from students,SELECT name FROM students;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Find average age in employees,SELECT AVG(age) FROM employees;
Show all customers,SELECT * FROM customers;
Show all orders,SELECT * FROM orders;
Find minimum name in students,SELECT MIN(name) FROM students;
List all department from students,SELECT department FROM students;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Show all employees,SELECT * FROM employees;
Show age from employees where id >= 10,SELECT age FROM employees WHERE id >= 10;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Find all records in customers where city > 60,SELECT * FROM customers WHERE city > 60;
Find minimum department in employees,SELECT MIN(department) FROM employees;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Show product_id from products where price >= 80,SELECT product_id FROM products WHERE price >= 80;
Find all records in customers where name >= 70,SELECT * FROM customers WHERE name >= 70;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
List all department from students,SELECT department FROM students;
Find all records in products where category > 70,SELECT * FROM products WHERE category > 70;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Find average age in employees,SELECT AVG(age) FROM employees;
Find maximum age in students,SELECT MAX(age) FROM students;
Count all rows in students,SELECT COUNT(*) FROM students;
List all price from products,SELECT price FROM products;
Show salary from employees where salary < 10,SELECT salary FROM employees WHERE salary < 10;
Find average category in products,SELECT AVG(category) FROM products;
Show all products,SELECT * FROM products;
Find average name in products,SELECT AVG(name) FROM products;
Find all records in students where name < 100,SELECT * FROM students WHERE name < 100;
Find minimum name in students,SELECT MIN(name) FROM students;
Find average stock in products,SELECT AVG(stock) FROM products;
Find all records in products where price >= 90,SELECT * FROM products WHERE price >= 90;
Show all products,SELECT * FROM products;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show customer_id from orders where order_id >= 50,SELECT customer_id FROM orders WHERE order_id >= 50;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Find all records in products where stock = 20,SELECT * FROM products WHERE stock = 20;
Find all records in orders where amount > 50,SELECT * FROM orders WHERE amount > 50;
List all status from orders,SELECT status FROM orders;
Show all students,SELECT * FROM students;
Find all records in customers where age > 50,SELECT * FROM customers WHERE age > 50;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Count all rows in students,SELECT COUNT(*) FROM students;
Find average name in customers,SELECT AVG(name) FROM customers;
List all marks from students,SELECT marks FROM students;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Show all employees ordered by name,SELECT * FROM employees ORDER BY name;
Find all records in employees where salary <= 60,SELECT * FROM employees WHERE salary <= 60;
Find minimum department in employees,SELECT MIN(department) FROM employees;
Show product_id from products where product_id <= 30,SELECT product_id FROM products WHERE product_id <= 30;
Find all records in orders where order_id = 80,SELECT * FROM orders WHERE order_id = 80;
Show all orders,SELECT * FROM orders;
Show amount from orders where order_id = 30,SELECT amount FROM orders WHERE order_id = 30;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find average age in students,SELECT AVG(age) FROM students;
Find average category in products,SELECT AVG(category) FROM products;
Find average amount in orders,SELECT AVG(amount) FROM orders;
List all name from students,SELECT name FROM students;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
List all id from students,SELECT id FROM students;
Find minimum category in products,SELECT MIN(category) FROM products;
Show all students,SELECT * FROM students;
Show name from employees where age > 10,SELECT name FROM employees WHERE age > 10;
Show name from students where department = 100,SELECT name FROM students WHERE department = 100;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find all records in orders where date = 20,SELECT * FROM orders WHERE date = 20;
Show all products,SELECT * FROM products;
Find all records in products where price <= 20,SELECT * FROM products WHERE price <= 20;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Show all students,SELECT * FROM students;
Show all orders,SELECT * FROM orders;
Show all employees,SELECT * FROM employees;
Find maximum id in students,SELECT MAX(id) FROM students;
List all customer_id from orders,SELECT customer_id FROM orders;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find all records in employees where id >= 50,SELECT * FROM employees WHERE id >= 50;
Show all customers,SELECT * FROM customers;
Find all records in customers where age < 70,SELECT * FROM customers WHERE age < 70;
Show name from products where product_id >= 60,SELECT name FROM products WHERE product_id >= 60;
Show date from orders where date > 10,SELECT date FROM orders WHERE date > 10;
Find maximum age in students,SELECT MAX(age) FROM students;
Show name from employees where id < 80,SELECT name FROM employees WHERE id < 80;
List all department from students,SELECT department FROM students;
List all category from products,SELECT category FROM products;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show product_id from products where product_id <= 10,SELECT product_id FROM products WHERE product_id <= 10;
Find maximum department in students,SELECT MAX(department) FROM students;
Show all orders,SELECT * FROM orders;
Show status from orders where customer_id = 60,SELECT status FROM orders WHERE customer_id = 60;
Show name from products where price <= 70,SELECT name FROM products WHERE price <= 70;
Show all students,SELECT * FROM students;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find average id in employees,SELECT AVG(id) FROM employees;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Show all products,SELECT * FROM products;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Find average age in students,SELECT AVG(age) FROM students;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Show date from orders where date = 100,SELECT date FROM orders WHERE date = 100;
Find average name in students,SELECT AVG(name) FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Find all records in students where age = 30,SELECT * FROM students WHERE age = 30;
Find minimum department in students,SELECT MIN(department) FROM students;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Show price from products where category = 100,SELECT price FROM products WHERE category = 100;
List all name from employees,SELECT name FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
List all category from products,SELECT category FROM products;
Find average name in students,SELECT AVG(name) FROM students;
Find minimum category in products,SELECT MIN(category) FROM products;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Find maximum marks in students,SELECT MAX(marks) FROM students;
Show all customers ordered by city,SELECT * FROM customers ORDER BY city;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Find average stock in products,SELECT AVG(stock) FROM products;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
Find maximum name in employees,SELECT MAX(name) FROM employees;
List all salary from employees,SELECT salary FROM employees;
Show all orders,SELECT * FROM orders;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Find average name in customers,SELECT AVG(name) FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Find minimum age in students,SELECT MIN(age) FROM students;
Show stock from products where name <= 40,SELECT stock FROM products WHERE name <= 40;
Find average age in students,SELECT AVG(age) FROM students;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Show name from employees where id <= 30,SELECT name FROM employees WHERE id <= 30;
Find average department in students,SELECT AVG(department) FROM students;
Find maximum age in employees,SELECT MAX(age) FROM employees;
Find all records in students where name >= 20,SELECT * FROM students WHERE name >= 20;
List all date from orders,SELECT date FROM orders;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Show all employees,SELECT * FROM employees;
List all date from orders,SELECT date FROM orders;
Find minimum price in products,SELECT MIN(price) FROM products;
Show amount from orders where status <= 40,SELECT amount FROM orders WHERE status <= 40;
Show membership from customers where membership > 40,SELECT membership FROM customers WHERE membership > 40;
Find minimum age in students,SELECT MIN(age) FROM students;
Find all records in orders where order_id > 80,SELECT * FROM orders WHERE order_id > 80;
Find all records in employees where id <= 80,SELECT * FROM employees WHERE id <= 80;
Find average price in products,SELECT AVG(price) FROM products;
List all name from products,SELECT name FROM products;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Show marks from students where age = 90,SELECT marks FROM students WHERE age = 90;
Find all records in employees where name >= 20,SELECT * FROM employees WHERE name >= 20;
Find minimum price in products,SELECT MIN(price) FROM products;
Find maximum name in students,SELECT MAX(name) FROM students;
Find minimum stock in products,SELECT MIN(stock) FROM products;
List all age from employees,SELECT age FROM employees;
Find all records in employees where id <= 40,SELECT * FROM employees WHERE id <= 40;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Find all records in orders where status >= 60,SELECT * FROM orders WHERE status >= 60;
Find average status in orders,SELECT AVG(status) FROM orders;
Show all orders,SELECT * FROM orders;
List all salary from employees,SELECT salary FROM employees;
Find all records in customers where customer_id <= 100,SELECT * FROM customers WHERE customer_id <= 100;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all orders,SELECT * FROM orders;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Show all customers,SELECT * FROM customers;
Find maximum name in products,SELECT MAX(name) FROM products;
Find all records in orders where customer_id > 90,SELECT * FROM orders WHERE customer_id > 90;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
List all age from students,SELECT age FROM students;
Find minimum name in students,SELECT MIN(name) FROM students;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Find all records in customers where city >= 100,SELECT * FROM customers WHERE city >= 100;
Show amount from orders where amount > 40,SELECT amount FROM orders WHERE amount > 40;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Find average name in students,SELECT AVG(name) FROM students;
Show name from students where department <= 50,SELECT name FROM students WHERE department <= 50;
Show price from products where price >= 10,SELECT price FROM products WHERE price >= 10;
Show all orders,SELECT * FROM orders;
Find all records in orders where date > 60,SELECT * FROM orders WHERE date > 60;
List all membership from customers,SELECT membership FROM customers;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Show product_id from products where stock = 20,SELECT product_id FROM products WHERE stock = 20;
Find maximum name in students,SELECT MAX(name) FROM students;
Find average date in orders,SELECT AVG(date) FROM orders;
Show marks from students where name <= 30,SELECT marks FROM students WHERE name <= 30;
Show all customers,SELECT * FROM customers;
Find average department in employees,SELECT AVG(department) FROM employees;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Show date from orders where customer_id < 20,SELECT date FROM orders WHERE customer_id < 20;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Find all records in customers where name >= 60,SELECT * FROM customers WHERE name >= 60;
List all city from customers,SELECT city FROM customers;
Find maximum department in students,SELECT MAX(department) FROM students;
Find all records in customers where customer_id = 60,SELECT * FROM customers WHERE customer_id = 60;
Show department from students where age <= 80,SELECT department FROM students WHERE age <= 80;
Show name from students where age <= 20,SELECT name FROM students WHERE age <= 20;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Find all records in products where stock > 40,SELECT * FROM products WHERE stock > 40;
Find all records in employees where id >= 100,SELECT * FROM employees WHERE id >= 100;
Show all products,SELECT * FROM products;
Find maximum id in students,SELECT MAX(id) FROM students;
Find average department in students,SELECT AVG(department) FROM students;
Find maximum name in students,SELECT MAX(name) FROM students;
Show product_id from products where price <= 90,SELECT product_id FROM products WHERE price <= 90;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show all students,SELECT * FROM students;
Show category from products where stock <= 40,SELECT category FROM products WHERE stock <= 40;
Find maximum name in products,SELECT MAX(name) FROM products;
Show all employees,SELECT * FROM employees;
Find average name in students,SELECT AVG(name) FROM students;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Show all employees,SELECT * FROM employees;
Find all records in employees where name <= 20,SELECT * FROM employees WHERE name <= 20;
Show name from students where department <= 90,SELECT name FROM students WHERE department <= 90;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find minimum price in products,SELECT MIN(price) FROM products;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Show customer_id from customers where name >= 100,SELECT customer_id FROM customers WHERE name >= 100;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
List all customer_id from orders,SELECT customer_id FROM orders;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Find average status in orders,SELECT AVG(status) FROM orders;
Find average stock in products,SELECT AVG(stock) FROM products;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Find maximum price in products,SELECT MAX(price) FROM products;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show all customers,SELECT * FROM customers;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Count all rows in products,SELECT COUNT(*) FROM products;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Find average name in employees,SELECT AVG(name) FROM employees;
